Summary of PIII_1 clustering
Cluster_0: 116 frames (5.8%)
Cluster_1: 319 frames (15.9%)
Cluster_2: 90 frames (4.5%)
Cluster_3: 293 frames (14.6%)
Cluster_4: 31 frames (1.5%)
Cluster_5: 335 frames (16.7%)
Cluster_6: 284 frames (14.2%)
Cluster_7: 108 frames (5.4%)
Cluster_8: 5 frames (0.2%)
Cluster_9: 1 frames (0.0%)
Cluster_10: 311 frames (15.5%)
Cluster_11: 112 frames (5.6%)
