Summary of PIII_3 clustering
Cluster_0: 401 frames (20.0%)
Cluster_1: 194 frames (9.7%)
Cluster_2: 176 frames (8.8%)
Cluster_3: 319 frames (15.9%)
Cluster_4: 82 frames (4.1%)
Cluster_5: 195 frames (9.7%)
Cluster_6: 109 frames (5.4%)
Cluster_7: 31 frames (1.5%)
Cluster_8: 82 frames (4.1%)
Cluster_9: 206 frames (10.3%)
Cluster_10: 24 frames (1.2%)
Cluster_11: 186 frames (9.3%)
